. . 导出了 "ZYHBCS"."BD_MARBASCLASS"                   410.0 KB    1738 行
. . 导出了 "ZYHBCS"."BD_PSNJOB"                        399.0 KB    1515 行
. . 导出了 "ZYHBCS"."BI_CUBE_DEF"                      14.03 KB       1 行
. . 导出了 "ZYHBCS"."BI_SCHD_JOBQUEUE"                 225.9 KB    1088 行
. . 导出了 "ZYHBCS"."BI_SCHD_TIMER"                     9.75 KB       2 行
. . 导出了 "ZYHBCS"."BI_SMART_MACRO"                   9.460 KB      15 行
. . 导出了 "ZYHBCS"."CP_PSNJOB"                        288.3 KB    1515 行
. . 导出了 "ZYHBCS"."CP_QUERYSCHEME"                   16.45 KB       1 行
. . 导出了 "ZYHBCS"."FA_DEPTSCALE"                     394.3 KB    2861 行
. . 导出了 "ZYHBCS"."FIP_TEMPLATEROW"                  354.7 KB    2817 行
. . 导出了 "ZYHBCS"."FI_ANAREP"                        209.7 KB       4 行
. . 导出了 "ZYHBCS"."GL_RTDETAIL"                      426.9 KB     832 行
. . 导出了 "ZYHBCS"."HI_PSNDOC_BMINFO"                 237.4 KB    1014 行
. . 导出了 "ZYHBCS"."HI_PSNDOC_CERT"                     301 KB    1439 行
. . 导出了 "ZYHBCS"."HI_PSNDOC_EDU"                    408.5 KB    1518 行
. . 导出了 "ZYHBCS"."HI_PSNDOC_LINKMAN"                291.1 KB    1143 行
. . 导出了 "ZYHBCS"."HI_PSNDOC_NATIONDUTY"             213.9 KB     589 行
. . 导出了 "ZYHBCS"."HI_PSNDOC_PSNCHG"                 345.4 KB    1450 行
. . 导出了 "ZYHBCS"."HI_PSNORG"                        349.3 KB    1443 行
. . 导出了 "ZYHBCS"."HI_STAPPLY"                       227.0 KB     277 行
. . 导出了 "ZYHBCS"."IA_GENERALNAB"                    391.1 KB    2186 行
. . 导出了 "ZYHBCS"."IA_MONTHOUT"                      396.0 KB     812 行
. . 导出了 "ZYHBCS"."IC_MATERIAL_L"                    278.8 KB    1480 行
. . 导出了 "ZYHBCS"."IC_ONHANDNUM"                     408.3 KB    3510 行
. . 导出了 "ZYHBCS"."IC_PURCHASEIN_H"                  240.5 KB     267 行
. . 导出了 "ZYHBCS"."IC_PURCHASEIN_L"                  220.2 KB    1156 行
. . 导出了 "ZYHBCS"."IUFO_CHECKRESULT_NOTE"            32.43 KB     130 行
. . 导出了 "ZYHBCS"."IUFO_FREE_USERINDIV"              12.96 KB       1 行
. . 导出了 "ZYHBCS"."IUFO_HR_STATCOND"                 30.18 KB      63 行
. . 导出了 "ZYHBCS"."IUFO_KEYWORD"                     19.42 KB      16 行
. . 导出了 "ZYHBCS"."IUFO_MY_REPORT"                   22.99 KB      81 行
. . 导出了 "ZYHBCS"."IUFO_REPORT_SHOW"                 36.20 KB       1 行
. . 导出了 "ZYHBCS"."IUFO_REP_CMMTREC"                 212.0 KB    1385 行
. . 导出了 "ZYHBCS"."IUFO_REP_COMMIT"                  230.9 KB     931 行
. . 导出了 "ZYHBCS"."MD_OPERATION"                     218.8 KB    1137 行
